西元年,全國發電業_總計(公秉油當量)(統計數值),全國發電業_煤炭_合計(公噸)(統計數值),全國發電業_煤炭_煙煤-燃料煤(公噸)(統計數值),全國發電業_煤炭_亞煙煤(公噸)(統計數值),全國發電業_柴油(公秉)(統計數值),全國發電業_燃料油(公秉),全國發電業_(自產)天然氣(千立方公尺),全國發電業_(進口)液化天然氣(千立方公尺),台電_合計(公秉油當量),台電_煤炭_小計(公噸),台電_煤炭_煙煤-燃料煤(公噸),台電_煤炭_亞煙煤(公噸),台電_柴油(公秉),台電_燃料油(公秉),台電_(進口)液化天然氣(千立方公尺),民營電廠_合計(公秉油當量),民營電廠_煙煤-燃料煤(公噸),民營電廠_柴油(公秉),民營電廠_燃料油(公秉),民營電廠_(自產)天然氣(千立方公尺),民營電廠_(進口)液化天然氣(千立方公尺)
2004,26539210.96,31914639,26901446.36,5013192.643,95506,2686120,0,6766691,19949769.76,24449065,19435872.36,5013192.643,87033,2681150,4186496,6589441.2,7465574,8473,4970,0,2580195
2005,28242176.58,34164013,28836838.38,5327174.621,160049,2487158,0,7414167,21263987.31,26346168,21018993.38,5327174.621,149919,2481891,4626998,6978189.27,7817845,10130,5267,0,2787169
2006,30104885.53,35685604,30528793.91,5156810.094,279583,3180889,0,7653481,23168943.94,27670333,22513522.91,5156810.094,273303,3176942,5033289,6935941.59,8015271,6280,3947,0,2620192
2007,30688854.83,36365060,30218536.87,6146523.134,138032,2798995,0,8499456,23617005.47,28243890,22097366.87,6146523.134,128280,2795772,5797793,7071849.36,8121170,9752,3223,0,2701663
2008,30916718.45,35777305,28667643.44,7109661.556,143994,2627896,0,9387436,23793911.24,27848814,20739152.44,7109661.556,136984,2623952,6505333,7122807.21,7928491,7010,3944,0,2882103
2009,28570769.39,34446374,27208298.65,7238075.354,67843,1456107,0,8956146,21061921.7,25804473,18566397.65,7238075.354,63356,1454753,6091818,7508847.69,8641901,4487,1354,0,2864328
2010,31492577.58,34604067,27677270.6,6926796.401,67289,1984124,0,11512357,23807839.35,25905498,18978701.6,6926796.401,63463,1981148,8489598,7684738.23,8698569,3826,2976,0,3022759
2011,32521311.57,36131077,23335772.53,12795304.47,56902,1771246,0,12446698,24726745.65,27720225,14924920.53,12795304.47,52464,1768835,9119656,7794565.92,8410852,4438,2411,0,3327042
2012,32524674.46,36610174,20829927.8,15780246.2,53115,1388238,0,12824411,25111419.22,28074830,12294583.8,15780246.2,48060,1385607,10000703,7413255.24,8535344,5055,2631,0,2823708
2013,31795533.93,34465379,21133729.98,13331649.02,52036,1289733,0,13261051,24363805.17,26225463,12893813.98,13331649.02,48249,1286952,10228689,7431728.76,8239916,3787,2781,0,3032362
2014,32965860.01,34620915,21636011.73,12984903.27,83394,1569946,0,14103924,25343259.73,26320435,13335531.73,12984903.27,78696,1567705,10898114,7622600.28,8300480,4698,2241,0,3205810
2015,34119699.8,32904729,21842366.88,11062362.12,141009,2473163,0,15284788,26332974.74,24500797,13438434.88,11062362.12,134418,2470300,11964567,7786725.06,8403932,6591,2863,0,3320221
2016,35742805.12,34577674,22949503.47,11628170.53,130516,2428599,0,16136329,27767029,26164206,14536035.47,11628170.53,125258,2427005,12609493,7975776.12,8413468,5258,1594,0,3526836
2017,38903237.46,37111780,26012164,11099616,140903,2664692,0,17734477,30998935.98,28974528,17874912,11099616,134208,2663258,14113291,7904301.48,8137252,6695,1434,0,3621186
2018,37519007.22,36609762,25963707,10646055,95337,1604280,0,17647706,29955232.53,28972347,18326292,10646055,88775,1601624,14089499,7563774.69,7637415,6562,2656,0,3558207
2019,35593065.42,34913490,24920367,9993123,81444,1106185,0,17068306,28000048.74,27443124,17450001,9993123,75069,1103224,13371961,7593016.68,7470366,6375,2961,0,3696345
2020,36720315.77,34959903.2,24301333.2,10658570,65416.01,760010,0,18734775,28846998.38,26937478,16278908,10658570,59599,757896,15075198,7873317.392,8022425.2,5817.01,2114,0,3659577
2021,38650143.82,35543813.85,25647501.66,9896312.19,82497.35,963238.6,0,20208742.3,30590996.77,28304208.89,18407896.7,9896312.19,77990.79,960601.6,15846236.54,8059147.046,7239604.96,4506.56,2637,0,4362505.765
2022,39120324.3,35645421.47,24948904.33,10696517.14,71738.61,864323.41,0,20853493.92,30805457.98,28115372.22,17418855.08,10696517.14,63431.38,861331.41,16394729.63,8314866.321,7530049.25,8307.23,2992,0,4458764.284
2023,37951563.33,34456887.99,24184851.23,10272036.76,63558.65,764205.01,0,20384304.5,29353212.78,26823107.39,16551070.63,10272036.76,59367.24,761708.01,15671884.82,8598350.55,7633780.6,4191.41,2497,0,4712419.671
2024,37595625.84,31626733.57,21610299.6,10016433.97,66311.89,869699.95,0,22132179.8,28745196.31,24562609.54,14546175.57,10016433.97,57358.86,867778.95,16750995.7,8850429.526,7064124.03,8953.03,1921,0,5381184.097
